


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        4.2.1     Platform:  V1.1.5 (b18)     Uptime:    0.000 s
Compiled:   Apr 12 2026 19:43:23     Directory:                        


Data Start;
Pos; -60.50,59.21,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.13,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.17,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.21,270.25
Pos; -60.50,59.25,270.25
Pos; -60.58,59.17,270.28
Pos; -60.85,59.25,270.39
Pos; -61.05,59.21,270.37
Pos; -61.22,59.17,270.33
Pos; -61.28,59.21,270.41
Pos; -61.29,59.25,270.40
Pos; -61.27,59.21,270.40
Pos; -61.24,59.21,270.40
Pos; -61.23,59.17,270.40
Pos; -61.23,59.21,270.40
Pos; -61.23,59.21,270.40
Pos; -61.23,59.17,270.40
Pos; -61.23,59.17,270.41
Pos; -61.23,59.21,270.40
Pos; -61.23,59.21,270.41
Pos; -61.23,59.13,270.40
Pos; -61.23,59.17,270.40
Pos; -61.23,59.21,270.40
Pos; -61.24,59.21,270.44
Pos; -61.35,59.21,270.45
Pos; -61.48,59.21,270.47
Pos; -61.71,59.21,270.46
Pos; -61.89,59.21,270.51
Pos; -62.22,59.17,270.55
Pos; -62.46,59.17,270.57
Pos; -62.93,59.17,270.64
Pos; -63.29,59.20,270.77
Pos; -63.93,59.20,270.85
Pos; -64.39,59.20,270.90
Pos; -65.11,59.20,270.90
Pos; -65.61,59.24,270.88
Pos; -66.37,59.20,270.87
Pos; -66.91,59.28,270.94
Pos; -67.73,59.20,270.95
Pos; -68.31,59.28,271.03
Pos; -69.14,59.28,271.04
Pos; -69.71,59.36,271.01
Pos; -70.61,59.40,271.05
Pos; -71.22,59.40,271.13
Pos; -72.13,59.40,271.21
Pos; -72.75,59.40,271.24
Pos; -73.68,59.44,271.23
Pos; -74.31,59.40,271.28
Pos; -75.24,59.44,271.31
Pos; -75.84,59.48,271.32
Pos; -76.42,59.52,271.27
Pos; -77.13,59.52,271.13
Pos; -77.54,59.56,271.05
Pos; -78.01,59.56,270.95
Pos; -78.25,59.60,271.00
Pos; -78.52,59.60,271.00
Pos; -78.63,59.60,271.02
Pos; -78.67,59.48,271.02
Pos; -78.66,59.60,271.03
Pos; -78.61,59.71,271.04
Pos; -78.58,60.03,271.03
Pos; -78.57,60.38,271.04
Pos; -78.57,60.46,271.03
Pos; -78.57,60.58,271.03
Pos; -78.57,60.50,271.03
Pos; -78.57,60.46,271.03
Pos; -78.57,60.46,271.03
Pos; -78.57,60.38,271.03
Pos; -78.57,60.38,271.03
Pos; -78.57,60.38,271.03
Pos; -78.57,60.34,271.03
Pos; -78.57,60.27,271.03
Pos; -78.57,60.23,271.03
Pos; -78.57,60.15,271.03
Pos; -78.57,60.15,271.03
Pos; -78.57,60.15,271.03
Pos; -78.57,60.15,271.03
Pos; -78.57,60.11,271.03
Pos; -78.57,60.15,271.03
Pos; -78.57,60.11,271.03
Pos; -78.57,60.11,271.03
Pos; -78.57,60.15,271.03
Pos; -78.57,60.11,271.03
Pos; -78.57,60.11,271.03
Pos; -78.57,60.11,271.03
Pos; -78.57,60.15,271.03
Pos; -78.57,60.11,271.03
Pos; -78.57,60.15,271.03
Pos; -78.57,60.11,271.03
Pos; -78.57,60.11,271.03
Pos; -78.57,60.15,271.03
Pos; -78.57,60.15,271.03
Pos; -78.57,60.15,271.03
Pos; -78.57,60.11,271.03
Pos; -78.57,60.11,271.03
Pos; -78.57,60.15,270.92
Pos; -78.56,60.15,270.69
Pos; -78.59,60.15,270.49
Pos; -78.65,60.15,270.28
Pos; -78.73,60.15,270.00
Pos; -78.79,60.16,269.68
Pos; -78.89,60.16,269.26
Pos; -78.96,60.13,268.86
Pos; -79.08,60.17,268.35
Pos; -79.17,60.18,267.75
Pos; -79.32,60.19,267.13
Pos; -79.43,60.17,266.38
Pos; -79.61,60.18,265.71
Pos; -79.73,60.20,264.96
Pos; -79.91,60.18,264.20
Pos; -80.03,60.16,263.47
Pos; -80.21,60.18,262.65
Pos; -80.32,60.21,261.91
Pos; -80.49,60.19,261.21
Pos; -80.58,60.22,260.51
Pos; -80.75,60.12,259.86
Pos; -80.87,60.11,259.26
Pos; -81.04,60.08,259.11
Pos; -81.14,60.03,259.23
Pos; -81.30,60.03,259.30
Pos; -81.42,60.03,259.29
Pos; -81.63,60.02,259.54
Pos; -81.80,59.95,260.31
Pos; -82.09,59.87,261.34
Pos; -82.28,59.79,262.84
Pos; -82.61,59.74,264.34
Pos; -82.81,59.71,265.71
Pos; -83.11,59.65,266.63
Pos; -83.29,59.61,266.82
Pos; -83.53,59.57,266.80
Pos; -83.69,59.61,266.78
Pos; -83.93,59.57,266.83
Pos; -84.08,59.61,266.83
Pos; -84.31,59.53,266.84
Pos; -84.48,59.57,266.99
Pos; -84.76,59.51,267.62
Pos; -84.95,59.50,268.56
Pos; -85.22,59.49,269.34
Pos; -85.39,59.45,269.51
Pos; -85.61,59.49,269.43
Pos; -85.75,59.49,269.42
Pos; -85.95,59.45,269.50
Pos; -86.09,59.49,269.55
Pos; -86.29,59.45,269.60
Pos; -86.41,59.45,269.65
