-48.01,-20.00,180.00
-48.01,-20.02,179.78
-48.00,-20.20,178.19
-47.98,-20.66,175.55
-47.93,-21.07,171.66
-47.78,-21.85,166.84
-47.61,-22.47,161.84
-47.17,-23.65,157.92
-46.75,-24.62,155.58
-45.99,-26.25,154.59
-45.41,-27.47,154.39
-44.53,-29.32,154.65
-43.89,-30.66,154.94
-42.92,-32.75,155.05
-42.26,-34.18,155.05
-41.23,-36.39,155.03
-40.53,-37.89,155.04
-39.51,-40.09,155.00
-38.79,-41.62,155.02
-37.88,-43.59,155.14
-37.28,-44.87,154.93
-37.01,-45.47,156.91
-36.68,-46.31,162.17
-36.57,-46.78,171.22
-36.55,-47.20,182.24
-36.62,-47.63,194.48
-36.75,-47.96,208.29
-36.89,-48.16,224.71
-37.03,-48.25,241.74
-37.36,-48.37,258.11
-37.30,-48.38,269.48
-37.01,-48.40,275.95
-36.92,-48.41,276.94
-36.84,-48.42,276.10
-36.97,-48.41,273.71
-37.18,-48.40,271.12
-37.82,-48.40,269.14
-38.42,-48.42,268.05
-39.77,-48.47,267.78
-40.93,-48.51,267.95
-42.96,-48.58,268.07
-44.50,-48.64,267.98
-46.80,-48.72,267.79
-48.32,-48.78,267.64
-50.52,-48.87,267.58
-51.86,-48.93,267.50
-53.74,-49.01,267.49
-54.84,-49.06,267.03
-56.06,-49.14,266.09
-56.86,-49.20,265.54
-57.34,-49.23,265.84
-57.42,-49.24,266.23
-57.41,-49.24,266.23
-57.41,-49.24,266.22
-57.40,-49.24,266.18
-57.40,-49.24,266.16
-57.40,-49.24,266.13
-57.40,-49.24,266.11
-57.39,-49.24,266.10
-57.03,-49.21,266.20
-56.02,-49.14,265.56
-55.21,-49.07,265.26
-53.71,-48.95,265.25
-52.61,-48.86,265.15
-51.09,-48.73,265.07
-50.05,-48.65,266.36
-48.52,-48.58,268.26
-47.39,-48.56,269.62
-45.40,-48.56,270.38
-43.08,-48.58,270.74
-41.40,-48.61,270.80
-38.76,-48.64,270.51
-36.99,-48.65,270.21
-34.46,-48.65,269.88
-32.65,-48.64,269.63
-30.14,-48.62,269.36
-29.07,-48.61,271.06
-29.49,-48.60,272.10
-29.63,-48.59,271.13
-29.11,-48.60,270.90
-29.14,-48.60,271.92
-29.27,-48.60,271.42
-29.30,-48.60,271.18
-29.30,-48.60,271.27
-29.30,-48.60,271.16
-29.30,-48.60,271.21
-29.30,-48.60,271.15
-29.30,-48.60,271.14
-29.31,-48.60,271.12
-29.31,-48.60,271.11
-29.31,-48.60,271.10
-29.31,-48.60,271.07
-29.50,-46.80,271.08
-29.85,-46.79,271.03
-30.21,-46.79,271.14
-30.96,-46.77,271.36
-31.67,-46.75,271.45
-32.70,-46.73,271.65
-33.44,-46.70,271.84
-34.56,-46.65,274.50
-35.19,-46.56,281.23
-36.06,-46.32,290.07
-36.75,-45.99,300.85
-37.95,-45.10,312.53
-38.65,-44.29,325.65
-39.40,-42.85,339.40
-39.62,-41.94,353.31
-39.62,-40.53,366.10
-39.51,-39.94,375.68
-39.35,-39.46,380.71
-39.32,-39.40,383.76
-39.19,-39.14,389.58
-39.04,-38.91,397.31
-38.63,-38.46,405.16
-38.15,-38.03,411.35
-37.27,-37.38,415.15
-36.49,-36.86,417.06
-35.14,-36.01,418.14
-34.16,-35.39,417.24
-32.80,-34.47,414.29
-31.95,-33.82,410.98
-30.71,-32.76,407.89
-29.83,-31.92,405.74
-28.42,-30.51,404.23
-27.43,-29.47,402.88
-25.95,-27.83,401.17
-25.05,-26.75,398.40
-23.92,-25.24,394.74
-23.26,-24.22,391.18
-22.42,-22.73,387.89
-21.91,-21.69,384.78
-21.28,-20.18,379.91
-20.94,-19.06,373.12
-20.66,-17.35,366.03
-20.59,-15.93,360.17
-20.65,-13.71,356.26
-20.86,-11.22,354.23
-21.03,-9.54,354.27
-21.28,-6.82,355.49
-21.40,-4.94,357.40
-21.49,-1.92,359.16
-21.49,0.15,360.53
-21.44,3.31,361.27
-21.39,5.42,361.34
-21.32,8.74,360.94
-21.29,10.96,360.32
-21.29,14.27,359.80
-21.31,16.32,358.93
-21.38,19.01,358.09
-21.45,20.16,353.73
-21.80,22.03,346.28
-22.12,23.02,336.08
-22.60,23.90,324.75
-22.63,23.93,317.03
-22.71,24.01,312.86
-23.32,24.55,309.88
-23.73,24.88,308.45
-24.00,25.08,306.40
-25.18,25.95,306.79
-26.29,26.79,307.44
-28.09,28.19,308.26
-29.34,29.19,309.17
-31.50,30.98,310.05
-33.05,32.30,311.05
-35.39,34.38,312.09
-37.06,35.92,313.05
-39.64,38.36,313.90
-41.32,40.00,314.59
-43.84,42.51,314.93
-45.29,43.94,314.19
-47.28,45.76,309.90
-48.55,46.70,301.82
-50.17,47.53,291.62
-51.05,47.78,279.95
-51.81,47.86,270.69
-52.05,47.85,265.33
-52.21,47.83,263.93
-52.18,50.36,265.24
-52.08,50.37,268.55
-51.92,50.36,272.66
-51.48,50.33,276.71
-50.98,50.25,279.32
-49.87,50.06,280.80
-48.91,49.86,282.00
-47.24,49.50,282.42
-46.04,49.24,281.85
-44.16,48.86,280.83
-42.89,48.63,279.62
-40.91,48.31,278.58
