28.00,46.80,90.00
28.00,46.80,90.00
28.00,46.80,90.01
28.00,46.80,90.03
28.02,46.80,89.98
28.02,46.80,89.99
28.02,46.80,89.97
28.02,46.80,89.99
28.02,46.80,89.98
28.02,46.80,89.98
28.02,46.80,89.98
28.02,46.80,89.99
28.02,46.80,89.99
28.02,46.80,89.99
28.02,46.80,89.99
28.02,46.80,89.99
28.02,46.80,89.99
28.02,46.80,89.99
28.02,46.80,89.98
28.02,46.80,89.99
28.02,46.80,89.99
28.02,46.80,89.99
28.29,46.80,89.98
28.69,46.80,90.02
29.53,46.80,90.05
30.21,46.80,90.09
31.28,46.80,90.21
31.99,46.79,90.26
33.00,46.79,90.32
33.56,46.78,90.53
34.55,46.77,91.54
35.25,46.73,94.30
36.52,46.59,98.24
37.45,46.42,103.31
38.93,45.98,109.27
39.88,45.59,116.06
41.31,44.78,123.62
42.61,43.75,131.85
43.46,42.87,139.83
44.56,41.42,145.65
45.26,40.32,148.84
46.20,38.75,149.17
46.87,37.65,147.74
47.91,36.07,145.50
48.75,34.90,143.12
50.16,33.08,141.75
51.18,31.79,141.39
52.70,29.88,141.63
53.60,28.73,141.87
54.84,27.16,141.69
55.55,26.27,141.29
56.50,25.09,141.14
57.14,24.29,141.16
58.07,23.14,141.17
58.69,22.36,141.40
59.60,21.22,141.59
60.18,20.48,141.79
60.73,19.80,141.42
60.83,19.67,140.49
60.81,19.69,139.99
60.78,19.72,140.15
60.77,19.74,140.99
60.91,19.55,143.71
61.18,19.16,147.21
61.41,18.77,151.34
61.74,18.11,156.33
61.92,17.65,161.90
62.10,16.97,167.39
62.18,16.55,172.08
62.21,16.26,174.38
62.22,16.21,174.78
62.22,16.24,174.47
62.22,16.24,174.39
62.23,16.13,174.30
62.28,15.60,174.26
62.40,14.36,175.05
62.43,13.90,177.07
62.44,13.69,177.90
62.44,13.70,178.67
62.44,13.70,179.40
62.44,13.70,179.71
62.44,13.15,179.64
62.45,12.16,179.25
62.46,11.45,178.89
62.47,11.20,179.04
62.47,11.18,179.09
62.47,11.11,178.45
62.47,11.04,176.70
62.47,11.06,174.97
62.47,11.06,174.47
62.47,11.07,175.39
62.47,11.06,175.31
62.47,11.06,174.33
62.47,11.06,173.87
62.55,10.35,174.12
62.67,9.12,174.59
62.74,8.25,175.41
62.82,7.05,177.44
62.84,6.40,179.34
62.84,5.96,180.17
62.84,5.95,180.37
