-47.00,16.30,90.00
-47.00,16.30,89.99
-46.80,16.30,89.51
-46.31,16.30,90.39
-45.15,16.29,90.63
-43.53,16.27,90.51
-42.35,16.26,90.30
-40.53,16.26,90.16
-39.37,16.25,90.28
-37.94,16.24,90.44
-37.23,16.24,90.49
-36.40,16.23,90.24
-36.21,16.24,86.57
-36.02,16.26,79.47
-35.98,16.27,72.16
-35.96,16.27,67.04
-35.96,16.27,66.67
-35.95,16.28,67.61
-35.95,16.27,68.07
-35.96,16.27,67.64
-35.97,16.27,67.26
-35.97,16.27,67.39
-35.96,16.27,67.30
-35.51,16.46,67.11
-34.86,16.73,67.98
-33.55,17.25,68.71
-32.37,17.70,69.02
-30.29,18.50,68.93
-28.80,19.09,67.95
-26.46,20.06,66.89
-24.85,20.77,65.98
-22.65,21.76,65.48
-21.47,22.30,65.22
-20.12,22.93,64.99
-19.50,23.21,64.94
-19.18,23.36,64.88
-19.19,23.36,64.78
-19.31,23.31,64.83
-19.43,23.25,64.92
-19.60,23.17,64.98
-19.71,23.12,65.05
-19.81,23.07,65.06
-19.83,23.06,65.06
-19.83,23.06,65.05
-19.82,23.07,65.04
-19.79,23.08,65.06
-19.78,23.08,65.06
-19.79,23.08,64.88
-19.82,23.07,61.25
-19.91,23.01,53.81
-19.96,22.97,43.64
-20.06,22.83,31.54
-20.12,22.69,17.78
-20.19,22.30,2.76
-20.16,21.99,-13.10
-20.01,21.60,-29.02
-19.88,21.42,-40.71
-19.55,21.06,-44.77
-19.47,20.99,-44.40
-19.39,20.90,-43.22
-19.39,20.90,-42.60
-19.39,20.90,-42.71
-19.39,20.90,-42.90
-19.38,20.89,-42.43
-19.22,20.71,-40.83
-18.57,19.93,-38.99
-18.00,19.20,-37.40
-16.95,17.80,-36.31
-16.11,16.64,-35.72
-14.83,14.85,-35.45
-13.96,13.63,-35.29
-12.83,12.03,-35.26
-12.20,11.14,-35.31
-11.63,10.34,-36.09
-11.53,10.21,-37.60
-11.55,10.23,-37.82
-11.66,10.37,-37.77
-11.92,10.71,-38.09
-12.13,10.98,-38.62
-12.41,11.32,-38.66
-12.52,11.47,-38.47
-12.60,11.57,-38.42
-12.61,11.57,-38.42
-12.61,11.57,-38.50
-12.60,11.57,-38.51
-12.58,11.54,-38.43
-12.57,11.53,-38.51
-12.57,11.53,-38.45
